rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,nid,location,disabled
410,41,University of British Columbia,78,410,62.5,66,76.6,39,90.5,118,76.7,304,95.0,49,master_account,0,486,Canada,False
420,42,University of Illinois at Urbana-Champaign,77.9,420,69.5,45,81.5,31,85.2,206,85.3,206,64.0,503,public,0,495,United States,False
430,43,Shanghai Jiao Tong University,77.7,430,76.6,29,82.5,30,75.4,433,100.0,24,60.6,573,master_account,0,801,China,False
440,44,Fudan University,77.5,440,76.5,30,75.3,43,83.5,246,96.0,104,56.1,659,master_account,0,700,China,False
450,45,KU Leuven,77,450,60.1,72,74.9,48,91.9,95,100.0,13,79.6,260,master_account,0,531,Belgium,False
460,46,London School of Economics and Political Science,76.8,460,59.5,77,73.5,49,95.4,46,55.9,716,94.1,63,master_account,0,511,United Kingdom,False
470,47,Universität Heidelberg,76.7,470,67.7,49,64.3,69,94.6,51,99.3,66,76.4,305,master_account,11,537,Germany,False
480,48,Delft University of Technology,76.3,480,66.7,51,78.2,36,76.5,405,100.0,5,92.8,86,master_account,0,568,Netherlands,False
490,49,McGill University,76,490,62.3,68,72.3,53,88.8,141,76.1,315,92.5,93,master_account,11,492,Canada,False
500,50,Karolinska Institute,75.9,500,58.9,82,67.9,56,95.3,48,96.0,106,85.7,182,master_account,0,496,Sweden,False
510,51,University of Manchester,75.6,510,61.4,69,67.1,60,93.1,74,73.1,367,95.6,37,master_account,11,512,United Kingdom,False
520,52,University of Texas at Austin,75.5,520,66.0,54,75.7,42,91.0,109,81.4,247,47.3,883,public,0,493,United States,False
530,53,The Chinese University of Hong Kong,75.4,530,59.1,80,61.5,80,97.6,21,95.9,107,93.6,69,master_account,11,662356,Hong Kong,False
540,54,Monash University,75.2,540,55.3,96,67.8,58,94.7,50,99.7,48,91.1,116,master_account,0,581,Australia,False
550,55,Kyoto University,75,550,85.4,21,84.3,27,60.0,781,100.0,14,45.7,942,master_account,0,516,Japan,False
560,55,Zhejiang University,75,560,70.2,42,75.3,45,78.7,350,99.0,69,65.5,476,master_account,11,815,China,False
570,57,University of Science and Technology of China,74.8,570,74.3,34,66.3,62,88.2,152,95.6,112,45.4,953,master_account,11,656,China,False
580,58,Université Paris-Saclay,74.4,580,70.9,40,66.1,63,82.4,277,92.4,140,78.6,277,master_account,0,699920,France,False
590,59,"University of California, Davis",74.1,590,63.7,61,67.8,57,87.2,170,91.5,147,78.7,272,public,0,503,United States,False
600,60,The University of Sydney,73.8,600,52.6,115,68.9,54,92.0,93,97.7,91,90.2,127,master_account,1,522,Australia,False
610,61,University of Amsterdam,73.6,610,55.0,99,63.1,74,96.7,33,77.6,292,93.2,80,master_account,1,556,Netherlands,False
620,62,Seoul National University,73.4,620,74.2,35,75.3,44,74.6,452,100.0,23,43.7,1000,master_account,0,588,South Korea,False
630,63,University of Wisconsin-Madison,73.3,630,68.5,46,67.5,59,85.5,200,79.8,267,62.8,527,public,0,491,United States,False
640,64,Brown University,73,640,69.8,43,59.6,87,89.7,130,69.3,449,72.1,375,private,0,513,United States,False
650,64,The Hong Kong University of Science and Technology,73,650,54.0,105,62.1,76,92.9,77,100.0,10,95.5,40,master_account,11,526,Hong Kong,False
660,64,Wageningen University & Research,73,660,56.4,90,59.8,85,93.8,63,98.8,74,92.4,96,master_account,0,540,Netherlands,False
670,67,Australian National University,72.6,670,55.9,91,68.0,55,86.6,180,82.0,238,94.8,51,master_account,11,502,Australia,False
680,68,Washington University in St Louis,72.3,680,60.8,71,57.2,101,97.5,24,77.8,291,72.7,368,private,0,505,United States,False
690,69,"University of California, Santa Barbara",72.1,690,47.4,167,64.7,68,96.9,29,99.4,64,84.0,201,public,0,499,United States,False
